episode,loss,rewards,gradients
0,-244.5060317471686,-169.63746643066406,{}
1,-146.67470749405766,-80.87684631347656,{}
2,-76.25236294126267,-61.30973434448242,{}
3,-238.53999636549443,-148.0329132080078,{}
4,-169.16392111644745,-109.1923828125,{}
5,-103.08339276299955,-96.96876525878906,{}
6,-73.10512140961843,-54.967987060546875,{}
7,-208.2099260913646,-126.71609497070312,{}
8,-187.98202586449793,-160.997314453125,{}
9,-110.8160579067589,-85.80789184570312,{}
10,-324.79958659376797,-256.38336181640625,{}
11,-214.4983261403267,-158.52391052246094,{}
12,-320.535549752356,-204.07147216796875,{}
13,-231.13513157602227,-167.96893310546875,{}
14,-249.15998918201467,-179.509521484375,{}
15,-331.2479406293364,-215.5276641845703,{}
16,-178.87581928036246,-129.84841918945312,{}
17,10.205075213958622,21.46839714050293,{}
18,-103.05795669769961,-78.5443115234375,{}
19,-241.50623867248092,-155.88861083984375,{}
20,-164.43663987485263,-109.123046875,{}
21,-319.9752909828476,-210.51095581054688,{}
22,34.209947320645654,30.344186782836914,{}
23,-83.64949461600104,-79.47492980957031,{}
24,-93.13599425620082,-89.73774719238281,{}
25,-67.01861317958378,-67.82518768310547,{}
26,-85.45412177444624,-59.18120574951172,{}
27,-131.55495416245736,-96.9251937866211,{}
28,-77.32622412497122,-70.48500061035156,{}
29,-305.3782637003745,-201.1416778564453,{}
30,-106.0302737243558,-85.21330261230469,{}
31,-169.88613774969042,-124.1951904296875,{}
32,-160.2265051434012,-128.2073974609375,{}
33,-136.0804033630764,-93.24740600585938,{}
34,-206.15354532212984,-135.04632568359375,{}
35,-248.74018726514308,-187.48519897460938,{}
36,-86.5704475269461,-57.66756820678711,{}
37,-153.65351943753095,-102.81088256835938,{}
38,-263.79378405824673,-235.19972229003906,{}
39,-90.4018494379159,-55.405853271484375,{}
40,-145.01542979944438,-121.4113998413086,{}
41,-113.9350491848233,-64.83739471435547,{}
42,-327.43444318184106,-225.81411743164062,{}
43,-225.0278833082565,-180.52088928222656,{}
44,-103.70229470773376,-84.15983581542969,{}
45,-335.6180962568209,-239.26885986328125,{}
46,-176.99804034750048,-143.4289093017578,{}
47,-79.00841105038828,-73.55658721923828,{}
48,-93.4348179561538,-88.535888671875,{}
49,-87.20414743801058,-86.6767349243164,{}
50,-98.46761334381928,-73.87915802001953,{}
51,-258.7682132105085,-171.05288696289062,{}
52,-294.9170889404159,-182.66204833984375,{}
53,-165.95726873891988,-152.393798828125,{}
54,-346.6712433247004,-225.5115966796875,{}
55,-349.3566742687941,-242.9285125732422,{}
56,-244.7320608358694,-156.479736328125,{}
57,-99.54469967684169,-69.1649398803711,{}
58,-146.12150699422304,-125.07929992675781,{}
59,-304.77729060512814,-232.42286682128906,{}
60,-139.71904001039115,-128.68670654296875,{}
61,-150.91901112512667,-101.62844848632812,{}
62,-56.21480155879239,-54.00873565673828,{}
63,-107.97793209510687,-66.74022674560547,{}
64,-150.12505598631697,-117.3128890991211,{}
65,-171.54709161627272,-113.57955932617188,{}
66,-84.07276699592362,-95.09203338623047,{}
67,-240.67185771029932,-153.3904571533203,{}
68,-141.08616141836225,-114.2458267211914,{}
69,-95.38691585935973,-87.28730010986328,{}
70,-311.2848890755906,-212.6719207763672,{}
71,-147.76041941821308,-128.77392578125,{}
72,-99.92975364569593,-68.3177261352539,{}
73,-110.88919445527046,-88.55210876464844,{}
74,-93.1673915849627,-73.61026000976562,{}
75,-178.0304051005578,-123.51264953613281,{}
76,-113.76621381475294,-80.17510223388672,{}
77,-90.93135867780914,-95.72529602050781,{}
78,-184.2200353515874,-151.32315063476562,{}
79,-115.5872084449772,-70.09260559082031,{}
80,-290.6156209469491,-191.28785705566406,{}
81,-112.04249153910891,-83.26649475097656,{}
82,-147.7299169072217,-125.59223937988281,{}
83,-133.65240573704256,-113.54934692382812,{}
84,-98.0660455744625,-100.84423065185547,{}
85,-83.02264811923555,-44.51982498168945,{}
86,-287.5938790752536,-231.95663452148438,{}
87,-93.9466804697771,-50.23404312133789,{}
88,-105.93037504391934,-100.02702331542969,{}
89,-110.12926546199351,-71.61630249023438,{}
90,-91.14866766210096,-85.95184326171875,{}
91,-297.5082669640917,-196.71583557128906,{}
92,-130.31129459117477,-84.83892059326172,{}
93,-71.79010441540119,-55.89594268798828,{}
94,-238.3138517088075,-180.85235595703125,{}
95,-235.04334092052085,-142.49191284179688,{}
96,-195.0355313018528,-127.03932189941406,{}
97,-111.82866003885091,-113.7755126953125,{}
98,-76.3009779343295,-84.83810424804688,{}
99,-218.6781191161019,-166.713623046875,{}
