episode,loss,rewards,l2_grad,max_grad
0,-137.30,-96.62,0.1282,4.7174
1,-89.73,-71.77,0.0960,3.2180
2,-297.08,-231.66,0.2339,6.7106
3,-91.18,-74.09,0.0906,3.0552
4,-89.92,-75.51,0.1405,5.3546
5,-221.86,-166.44,0.1634,5.7706
6,-91.75,-73.56,0.0483,1.4826
7,-108.47,-99.02,0.1029,3.6864
8,-320.69,-228.42,0.2911,10.7020
9,-100.66,-94.78,0.0475,1.2767
10,-336.26,-249.73,0.4293,13.8500
11,-141.69,-99.58,0.1188,4.2612
12,-80.48,-42.48,0.0604,1.8791
13,-219.59,-166.60,0.2005,6.4492
14,-68.39,-56.90,0.0758,2.7659
15,-311.05,-210.75,0.2863,10.6397
16,-110.74,-70.45,0.0628,1.9299
17,-125.70,-103.01,0.1483,5.9889
18,-162.58,-128.45,0.2864,10.9155
19,-130.78,-93.72,0.1001,4.1931
20,-96.08,-76.13,0.1364,5.4782
21,-57.78,-38.47,0.0370,1.0882
22,-236.54,-158.33,0.1675,6.0252
23,-203.60,-128.89,0.0939,3.6031
24,-102.05,-64.61,0.0727,2.3342
25,-93.31,-67.55,0.0879,2.3406
26,-116.35,-85.82,0.1452,5.4729
27,-166.59,-101.87,0.0702,2.3322
28,-114.68,-63.38,0.1088,3.6390
29,-125.87,-83.52,0.0419,0.8070
30,-107.07,-80.15,0.1560,5.2219
31,-106.60,-55.03,0.0743,2.8969
32,-113.27,-71.45,0.1262,3.4989
33,-90.58,-33.43,0.0301,0.9524
34,-136.91,-95.18,0.0656,2.5917
35,-90.43,-65.71,0.1390,4.7759
36,-186.34,-120.03,0.2026,6.6068
37,-129.62,-84.35,0.1914,6.1631
38,-232.29,-138.53,0.1268,4.2888
39,-98.90,-43.45,0.0600,1.9006
40,-136.85,-65.57,0.1019,3.7407
41,-391.65,-264.26,0.4428,16.3179
42,-237.50,-155.41,0.2385,7.1616
43,-127.45,-53.56,0.0699,2.3373
44,-35.96,1.67,0.0197,0.4863
45,-126.25,-60.51,0.0560,1.8847
46,-198.80,-107.04,0.0945,2.7115
47,-251.07,-150.16,0.2592,9.4704
48,-85.14,-24.61,0.0548,1.9875
49,-241.22,-120.53,0.0984,2.6885
50,-154.75,-82.62,0.1427,4.9130
51,-110.68,-56.87,0.0828,3.6343
52,-220.88,-100.90,0.1254,4.2231
53,-118.23,-58.73,0.1274,4.9647
54,-142.71,-66.13,0.1148,3.6663
55,-365.99,-242.00,0.5091,15.1278
56,-108.16,-40.97,0.0818,2.5837
57,-136.37,-48.47,0.0781,3.1364
58,-367.37,-247.60,0.5496,19.9779
59,-54.89,6.99,0.0345,1.2799
60,-116.71,-51.73,0.1269,4.8620
61,-158.02,-53.14,0.1077,3.9631
62,-131.25,-35.87,0.0399,1.0791
63,-590.55,-437.34,0.9002,32.4408
64,-291.81,-164.22,0.1835,5.8027
65,-121.83,-12.68,0.0151,0.5943
66,-201.35,-107.84,0.1757,5.4120
67,-108.56,-21.71,0.0284,1.1712
68,-141.23,-40.68,0.0388,1.4524
69,-237.32,-106.80,0.0957,3.5673
70,-249.76,-129.65,0.0990,2.8540
71,-254.87,-148.31,0.1708,5.6974
72,-107.19,-23.90,0.0368,1.3083
73,-211.26,-94.50,0.1915,5.9621
74,-110.15,-14.64,0.0143,0.5029
75,-107.03,-5.16,0.0200,0.6627
76,-149.31,-33.67,0.0864,2.2129
77,-173.08,-65.43,0.0863,3.2355
78,-186.23,-47.10,0.0423,1.6780
79,-90.28,49.88,0.0759,3.0834
80,-69.74,37.77,0.0369,1.5848
81,-107.52,15.11,0.0374,1.5979
82,-193.80,-40.67,0.1081,3.7472
83,-104.13,-2.09,0.0472,1.5760
84,-191.24,-79.03,0.1018,3.8282
85,-144.00,-15.38,0.0213,0.7546
86,-118.51,-12.41,0.0370,1.3447
87,-65.13,42.15,0.0193,0.7056
88,-133.78,-13.12,0.0568,2.0957
89,-130.98,-5.23,0.0212,0.8622
90,-274.87,-134.28,0.1666,5.4327
91,-139.27,-41.64,0.0463,1.6535
92,-92.29,19.61,0.0377,1.3607
93,-112.49,9.94,0.0254,1.0755
94,-436.10,-307.33,0.4936,21.6773
95,-137.79,-19.10,0.0385,1.5565
96,-173.32,-22.10,0.0507,1.8072
97,-257.77,-100.71,0.1954,7.7601
98,-112.20,9.58,0.0147,0.6250
99,-139.43,-8.48,0.0522,1.7502
